id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
0FFA ; FtrHwnTableL ; spooky table ; ハロウィンなテーブル ; 萬聖節桌 ; 万圣节桌 ; 할로윈 테이블 ; table Halloween ; Kürbistisch ; mesa grande calabaza ; tavolo brividi ; pompoentafel ; жуткий стол-тыква
0FFC ; FtrHwnLanternset ; spooky lantern set ; ハロウィンなランタンセット ; 萬聖節燈籠組合 ; 万圣节灯笼组合 ; 할로윈 랜턴 세트 ; set de lanternes Halloween ; Kürbislaternenset ; set de faroles calabaza ; set di lanterne brividi ; pompoenlantaarns ; жуткие светильники
0FFD ; FtrBamboodrum ; bamboo drum ; バンブードラム ; 竹鼓 ; 竹鼓 ; 대나무 드럼 ; tambour à fentes bambou ; Bambustrommel ; xilófono de bambú ; tamburo a fessura di bambù ; bamboe-xylofoon ; барабаны из бамбука
0FFE ; FtrBiotope ; floating-biotope planter ; ビオトープ ; 迷你生態池 ; 迷你生态池 ; 비오톱 ; biotope en pot ; Balkonteich ; minibiotopo flotante ; mini biotopo galleggiante ; minivijver ; водный комнатный сад
1003 ; FtrTestimonial ; formal paper ; ひょうしょうじょう ; 獎狀 ; 奖状 ; 표창장 ; certificat encadré ; Zertifikat ; certificado ; attestato formale ; certificaat ; грамота
1005 ; FtrFax ; fax machine ; ファクシミリ ; 傳真機 ; 传真机 ; 팩스 ; fax ; Faxgerät ; fax ; fax ; fax ; факс
1006 ; FtrPoolsidebed ; poolside bed ; プールサイドベッド ; 泳池躺椅 ; 泳池躺椅 ; 수영장 침대 ; transat de piscine ; Sonnenliege ; tumbona de piscina ; lettino da piscina ; zwembadbed ; лежак для бассейна
1008 ; FtrPan ; frying pan ; フライパン ; 平底鍋 ; 平底锅 ; 프라이팬 ; poêle à frire ; Pfanne ; sartén ; padella ; koekenpan ; сковорода
100C ; FtrIllumiPresent ; illuminated present ; プレゼントのイルミネーション ; 禮物燈飾 ; 礼物灯饰 ; 선물 일루미네이션 ; cadeau illuminé ; Leuchtgeschenk ; regalo de luces ; regalo illuminato ; verlicht cadeautje ; подарок с подсветкой
100D ; FtrRefrigeratorDoubledoor ; double-door refrigerator ; フレンチドアれいぞうこ ; 對開冰箱 ; 对开冰箱 ; 양문형 냉장고 ; réfrigérateur américain ; Side-by-Side-Kühlschrank ; frigorífico de puerta doble ; frigorifero a doppia anta ; Amerikaanse koelkast ; двойной холодильник
100E ; FtrWriterset ; essay set ; ぶんごうセット ; 文思泉湧寫作文具組合 ; 文思泉涌写作文具组合 ; 작가 세트 ; set d'écriture ; Schreibset ; kit de escritura ; set da scrittura ; schrijfset ; набор для письма
100F ; FtrClockBell ; old-fashioned alarm clock ; ベルつきアラームクロック ; 打鈴鬧鐘 ; 打铃闹钟 ; 종소리 알람 시계 ; réveille-matin mécanique ; Glockenwecker ; despertador sencillo ; sveglia a doppia campana ; wekker ; старомодный будильник
1011 ; FtrHosereel ; hose reel ; ホースリール ; 捲管器 ; 卷管器 ; 호스 릴 ; dévidoir ; Gartenschlauch ; manguera de jardín ; tubo da giardino ; haspel ; шланг на катушке
1012 ; FtrTissuebox ; tissue box ; ボックスティッシュ ; 盒裝面紙 ; 盒装面纸 ; 갑 티슈 ; boîte de mouchoirs ; Taschentuchspender ; caja de pañuelos ; scatola di fazzolettini ; doos tissues ; коробка с салфетками
1014 ; FtrWhiteboard ; whiteboard ; ホワイトボード ; 白板 ; 白板 ; 화이트보드 ; tableau blanc ; Whiteboard ; pizarra blanca ; lavagna bianca ; whiteboard ; маркерная доска
1016 ; FtrKniferackWall ; magnetic knife rack ; マグネットナイフラック ; 磁鐵刀架 ; 磁铁刀架 ; 자석 칼 걸이 ; range-couteaux aimanté ; Magnet-Messerhalter ; cuchillero magnético ; portacoltelli magnetico ; magnetische messenstrip ; вешалка-магнит с ножами
1017 ; FtrMacrametapestry ; macrame tapestry ; マクラメタペストリー ; 花邊結壁毯 ; 花边结壁毯 ; 마크라메 태피스트리 ; tapisserie en macramé ; Makramee-Wandteppich ; tapiz de macramé ; arazzo in macramè ; gemacrameed wandkleed ; гобелен-макраме
101A ; FtrCartoonistset ; cartoonist's set ; まんがかセット ; 漫畫用具組合 ; 漫画用具组合 ; 만화가 세트 ; set de dessinateur ; Comiczeichner-Set ; tablero de dibujo ; set da fumettista ; striptekenaarsset ; набор карикатуриста
101C ; FtrMokugyo ; wooden fish ; もくぎょ ; 木魚 ; 木鱼 ; 목탁 ; mokugyo ; Holzblocktrommel ; pez de madera de percusión ; mokugyo ; mokugyo ; деревянная рыба
101D ; FtrBookshelf ; wooden bookshelf ; もくせいのほんだな ; 木製書架 ; 木制书柜 ; 목제 책장 ; bibliothèque en bois ; Holzbücherregal ; librería grande de madera ; libreria di legno ; houten boekenkast ; книжная полка из дерева
101F ; FtrFruitsChairPeach ; peach chair ; モモのチェア ; 桃子椅 ; 桃子椅 ; 복숭아 체어 ; fauteuil pêche ; Pfirsichstuhl ; sillón melocotón ; sedia pesca ; perzikstoel ; кресло-персик
1020 ; FtrFruitsBox ; peach surprise box ; モモのビックリばこ ; 桃子驚嚇箱 ; 桃子惊吓箱 ; 복숭아 깜짝 상자 ; boîte à malice pêche ; Überraschungspfirsich ; caja sorpresa melocotón ; scatola a sorpresa pesca ; verrassingsperzik ; шкатулка-персик
1021 ; FtrPlantMonstera ; monstera ; モンステラ ; 龜背芋 ; 龟背芋 ; 몬스테라 ; monstera ; Fensterblattpflanze ; monstera ; monstera ; gatenplant ; монстера
1023 ; FtrIllumiSnow ; illuminated snowflakes ; ゆきのイルミネーション ; 雪花燈飾 ; 雪花灯饰 ; 눈꽃 일루미네이션 ; set de flocons illuminés ; Leuchtschnee ; set de nieve de luces ; set fiocchi di neve illuminati ; sneeuwlichtjes ; снежинки с подсветкой
1024 ; FtrPlantYucca ; yucca ; ユッカ ; 絲蘭 ; 丝兰 ; 유카 ; yucca ; Yuccapalme ; yuca ; yucca ; palmlelie ; юкка
1025 ; FtrBothsideclockWall ; double-sided wall clock ; りょうめんウォールクロック ; 雙面壁鐘 ; 双面壁钟 ; 양면 벽시계 ; horloge murale double face ; Doppelwanduhr ; reloj de estación ; orologio a muro a due facce ; stationsklok ; двусторонние часы
1026 ; FtrFruitsChairApple ; apple chair ; リンゴのチェア ; 蘋果椅 ; 苹果椅 ; 사과 체어 ; chaise pomme ; Apfelstuhl ; silla manzana ; sedia mela ; appelstoel ; стул-яблоко
1027 ; FtrFreezer ; freezer ; れいとうこ ; 冷凍櫃 ; 冷冻柜 ; 냉동고 ; congélateur ; Kühltruhe ; arcón congelador ; congelatore ; diepvriezer ; морозильная камера
1029 ; FtrAmeretroChairS ; diner chair ; ダイナーなイス ; 餐館椅子 ; 餐馆椅子 ; 다이너 의자 ; chaise années 50 ; Diner-Stuhl ; silla café años 50 ; sedia bar anni '50 ; jaren 5⁠0-⁠stoel ; стул (бистро)
102A ; FtrAmeretroCounterchair ; diner counter chair ; ダイナーなカウンターチェア ; 餐館吧台椅 ; 餐馆吧台椅 ; 다이너 카운터 체어 ; tabouret années 50 ; Diner-Barhocker ; taburete café años 50 ; sgabello bar anni '50 ; jaren 5⁠0-⁠barkruk ; барный табурет (бистро)
102B ; FtrAmeretroCounter ; diner counter table ; ダイナーなカウンターテーブル ; 餐館吧台桌 ; 餐馆吧台桌 ; 다이너 카운터 테이블 ; comptoir années 50 ; Diner-Tresen ; barra café años 50 ; bancone bar anni '50 ; jaren 5⁠0-⁠bar ; стойка (бистро)
102C ; FtrAmeretroGasstand ; retro gas pump ; レトロなきゅうゆき ; 復古加油機 ; 复古加油机 ; 복고풍 주유기 ; pompe à essence rétro ; Retro-Zapfsäule ; surtidor de gasolinera retro ; pompa di benzina rétro ; retrobrandstofpomp ; ретро-колонка (бистро)
102D ; FtrAmeretroChairL ; diner sofa ; ダイナーなソファ ; 餐館沙發 ; 餐馆沙发 ; 다이너 소파 ; banquette années 50 ; Diner-Sofa ; banco café años 50 ; divanetto bar anni '50 ; jaren 5⁠0-⁠bank ; диван (бистро)
102E ; FtrAmeretroTableM ; diner dining table ; ダイナーなダイニングテーブル ; 餐館餐桌 ; 餐馆餐桌 ; 다이너 다이닝 테이블 ; table années 50 ; Diner-Esstisch ; mesa café años 50 ; tavolo bar anni '50 ; jaren 5⁠0-⁠eettafel ; стол (бистро)
102F ; FtrAmeretroNeon ; diner neon sign ; ダイナーなネオンかんばん ; 餐館霓虹燈招牌 ; 餐馆霓虹灯招牌 ; 다이너 네온 간판 ; enseigne années 50 ; Diner-Neonschild ; cartel de neón café años 50 ; insegna bar anni '50 ; jaren 5⁠0-⁠neonbord ; неонов. вывеска (бистро)
1030 ; FtrAmeretroClock ; diner neon clock ; ダイナーなネオンクロック ; 餐館霓虹燈時鐘 ; 餐馆霓虹灯时钟 ; 다이너 네온 시계 ; horloge années 50 ; Diner-Neonuhr ; reloj de pared café años 50 ; orologio bar anni '50 ; jaren 5⁠0-⁠neonklok ; неоновые часы (бистро)
1082 ; FtrBasketgoal ; basketball hoop ; バスケットのゴール ; 籃框 ; 篮框 ; 농구 골대 ; panneau de basket ; Basketballkorb ; canasta ; canestro da basket ; basket ; баскетбольная корзина
1086 ; FtrGlasscandle ; glass holder with candle ; ガラスのキャンドルホルダー ; 玻璃燭台 ; 玻璃烛台 ; 유리컵 양초 ; photophore en verre ; Glas-Kerzenhalter ; portavelas de cristal ; portacandela di vetro ; waxinelichthouder ; свеча в стакане
10B7 ; FtrIceCandy ; frozen-treat set ; アイスキャンディー ; 冰棒 ; 冰棒 ; 막대 아이스크림 ; lot de glaces à l'eau ; Stieleis-Duo ; bandeja con polos ; set di ghiaccioli iceberg ; ijslollyset ; мороженое на палочке
10D4 ; FtrPuzzle ; unfinished puzzle ; つくりかけのパズル ; 未完成的拼圖 ; 未完成的拼图 ; 미완성 퍼즐 ; puzzle en cours ; Puzzle-Rest ; puzle a medias ; puzzle incompiuto ; onafgemaakte puzzel ; несобранный пазл
10D5 ; FtrSignpostWorld ; destinations signpost ; せかいのみちしるべ ; 世界的路標 ; 世界的路标 ; 섬 이정표 ; poteau indicateur ; Weltwegweiser ; poste cruce de caminos ; palo segnaletico ; wereldwegwijzer ; указатель направлений
10F2 ; FtrPortablerecordplayer ; portable record player ; ポータブルレコードプレーヤー ; 手提唱片播放機 ; 手提唱片播放机 ; 휴대용 레코드플레이어 ; tourne-disque portable ; Kofferplattenspieler ; tocadiscos portátil ; giradischi portatile ; draagbare platenspeler ; электрофон
111B ; FtrSpringrider ; springy ride-on ; スプリングゆうぐ ; 彈簧遊樂器材 ; 弹簧游乐器材 ; 스프링 놀이 기구 ; animal sur ressort ; Federwippe ; balancín de muelle ; cavallo a molla ; veertoestel ; лошадка на пружине
1128 ; FtrMagicset ; magic kit ; てじなセット ; 魔術組合 ; 魔术组合 ; 마술 세트 ; set de magie ; Taschenspieler-Set ; kit de magia ; kit da prestidigitazione ; goochelset ; набор иллюзиониста
113C ; FtrCottoncandymachine ; cotton-candy stall ; わたあめのやたい ; 棉花糖小吃攤 ; 棉花糖小吃摊 ; 솜사탕 노점 ; stand de barbe à papa ; Zuckerwattestand ; puesto algodón de azúcar ; carretto zucchero filato ; suikerspinkraampje ; лоток с сахарной ватой
1159 ; FtrAmeretroTableS ; diner mini table ; ダイナーなミニテーブル ; 餐館小桌 ; 用餐小桌 ; 다이너 미니 테이블 ; guéridon années 50 ; Diner-Tisch ; mesita café años 50 ; tavolino bar anni '50 ; jaren 5⁠0-⁠tafeltje ; столик (бистро)
115D ; FtrTVtray ; vintage TV tray ; TVトレイ ; 托盤茶几 ; 托盘茶几 ; 빈티지 접이식 협탁 ; table plateau télé ; Retro-Klapptisch ; bandeja con patas añeja ; tavolo da TV ; klaptafeltje ; старый стол под ТВ
11C2 ; FtrFruitsBedS ; pear bed ; ナシのベッド ; 梨子床鋪 ; 梨子床铺 ; 배 침대 ; lit poire ; Birnenbett ; cama pera ; letto pera ; perenbed ; кровать-груша
11DC ; FtrLampMount ; shaded floor lamp ; マウントシェードのフロアランプ ; 有罩落地燈 ; 有罩落地灯 ; 심플 플로어 스탠드 ; lampe abat-jour ; Schirm-Stehlampe ; lámpara de pie con pantalla ; lampada da terra ; staande schemerlamp ; торшер с абажуром
124F ; FtrToolbox ; toolbox ; こうぐばこ ; 工具箱 ; 工具箱 ; 공구 상자 ; caisse à outils ; Werkzeugkasten ; caja de herramientas ; cassetta degli attrezzi ; gereedschapskist ; ящик для инструментов
1264 ; FtrMushroomChairS ; mush low stool ; キノコのスツール ; 蘑菇凳子 ; 蘑菇凳子 ; 버섯 스툴 ; tabouret bas champi ; Pilzschemel ; banqueta hongo ; mini sgabello fungo ; paddenstoelkruk ; табуретка-гриб
126F ; FtrCelebratoryCandle ; celebratory candles ; うたげのキャンドル ; 宴會蠟燭 ; 宴会蜡烛 ; 연회장 양초 ; chandelier décoratif ; Festmahldeko ; candelabro celebración ; candelabro celebrativo ; zevenkaarsenhouder ; торжественные свечи
1272 ; FtrMonster ; monster statue ; かいじゅう ; 怪獸 ; 怪兽 ; 괴수 ; figurine de monstre géant ; Monsterfigur ; estatua de monstruo ; statua di mostro ; monsterstandbeeld ; статуя чудовища
1291 ; FtrBoyFigure ; throwback wrestling figure ; TOYなフィギュア ; TOY公仔 ; TOY公仔 ; TOY 피규어 ; figurine lutteur nostalgie ; Nostalgie-Wrestlingfigur ; figurilla luchador fantasía ; statuetta wrestling fantasia ; speelgoedworstelaar ; винтажный рестлер
1292 ; FtrBoyMirror ; throwback gothic mirror ; TOYなミラー ; TOY鏡子 ; TOY镜子 ; TOY 거울 ; miroir gothique nostalgie ; Nostalgie-Gotikspiegel ; espejo gótico fantasía ; specchio gotico fantasia ; speelgoedgriezelspiegel ; винтажное зеркало
1294 ; FtrBoyClockWall ; throwback wall clock ; TOYなウォールクロック ; TOY壁鐘 ; TOY壁钟 ; TOY 벽시계 ; horloge murale nostalgie ; Nostalgie-Wanduhr ; reloj de pared fantasía ; orologio a muro fantasia ; speelgoedklok ; винтажные настенн. часы
1295 ; FtrBoyAudio ; throwback skull radio ; TOYなオーディオ ; TOY音響 ; TOY音响 ; TOY 오디오 ; radio crâne nostalgie ; Nostalgie-Schädelradio ; lector CD calavera fantasía ; radio teschio fantasia ; speelgoedmuziekspeler ; винтажный аудиочереп
1296 ; FtrBoyChairS ; throwback mitt chair ; TOYなチェア ; TOY椅 ; TOY椅 ; TOY 체어 ; fauteuil base-ball nostalgie ; Nostalgie-Handschuhsitz ; sillón béisbol fantasía ; poltrona baseball fantasia ; speelgoedstoel ; винтажн. кресло-перчатка
1297 ; FtrBoyBedS ; throwback race-car bed ; TOYなベッド ; TOY床鋪 ; TOY床铺 ; TOY 침대 ; lit bolide nostalgie ; Nostalgie-Rennautobett ; cama bólido fantasía ; letto bolide fantasia ; speelgoedbed ; винтажн. кровать-болид
1298 ; FtrBoyTableL ; throwback hat table ; TOYなテーブル ; TOY桌 ; TOY桌 ; TOY 테이블 ; table casquette nostalgie ; Nostalgie-Huttisch ; mesa gorra fantasía ; tavolo a cappello fantasia ; speelgoedtafel ; винтажный стол-кепка
1299 ; FtrBoyClosetL ; throwback rocket ; TOYなクロゼット ; TOY衣櫃 ; TOY衣柜 ; TOY 옷장 ; armoire fusée nostalgie ; Nostalgie-Rakete ; armario cohete fantasía ; armadio razzo fantasia ; speelgoedkast ; винтажный шкаф-ракета
129A ; FtrBoyBox ; throwback container ; TOYなコンテナ ; TOY貨櫃 ; TOY货柜 ; TOY 철제 박스 ; boîte en métal nostalgie ; Nostalgie-Dose ; baúl tranvía fantasía ; scatola in metallo fantasia ; speelgoedkist ; винтажный контейнер
141E ; FtrShellMusic ; shell speaker ; かいがらのスピーカー ; 貝殼廣播喇叭 ; 贝壳广播喇叭 ; 조개 스피커 ; haut-parleur coquillages ; Muschel-Lautsprecher ; altavoz caracola ; altoparlante conchiglia ; schelpenspeaker ; колонка-ракушка
142D ; FtrCandleWall ; wall-mounted candle ; かべかけのキャンドル ; 壁掛式蠟燭 ; 壁挂式蜡烛 ; 벽걸이 양초 ; porte-bougie mural ; Wandkerze ; palmatoria de pared ; candelabro da parete ; wandkandelaar ; настенная свеча
14D9 ; FtrSnowman ; three-tiered snowperson ; 3だんゆきだるま ; 3層雪人 ; 3层雪人 ; 3단 눈사람 ; monsieur neige ; Drei-Stufen-Schneemann ; muñeco de nieve detallado ; pupazzo di neve iceberg ; aangeklede sneeuwpop ; трехъярусный снеговик
14DA ; FtrScreenSimple ; simple panel ; シンプルなパネル ; 簡單壁板 ; 简单壁板 ; 심플 패널 ; cloison simple ; Zwischenwand ; mampara simple ; tramezzo semplice ; scheidingswand ; простая ширма
15A7 ; FtrBlockStoolS ; wooden-block stool ; つみきスツール ; 積木凳子 ; 积木凳子 ; 나무블록 스툴 ; tabouret bloc de bois ; Bauklotzhocker ; taburete construcciones ; sgabello blocchi di legno ; houtblokkruk ; табурет из дерев. блока
1603 ; FtrMicrolibrary ; tiny library ; マイクロライブラリー ; 微型圖書館 ; 微型图书馆 ; 작은 무인 도서관 ; librairie de poche ; Mini-Bibliothek ; punto intercambio de libros ; mini libreria ; boekenruilkast ; мини-библиотека
